objid,ra,dec,class
1237660613435719794,167.4826,9.05515,2
1237662473152037069,231.31284,38.702077,1
1237661068164399472,127.14311,6.9324205,1
1237660637061382243,135.25252,36.68843,0
1237648720167698603,204.42402,-0.93004797,0
1237660613436637201,169.54309,9.094026,2
1237661386536124747,229.04176,47.924316,0
1237671941407637698,224.48446,57.746364,0
1237648720691331239,174.21478,-0.47665695,0
1237651800696291624,147.90346,-0.3177735,1
1237660670347706621,138.70441,8.8891986,0
1237657874866307299,141.34056,41.493487,0
1237648705119191271,195.38615,0.63385652,0
1237658192151642409,134.1098,36.962485,0
1237661065478144183,122.4497,6.1955149,2
1237661386536452178,229.74625,47.464007,0
1237674648851447906,171.98972,-1.2111543,0
1237660413186867407,138.03943,7.5284661,0
1237650795146313964,146.22601,-0.72509875,0
1237655693548650567,217.12539,-1.1611781,2
1237680073931292918,19.504098,26.084038,0
1237654879671353539,233.32609,2.8216053,0
1237661816024138191,194.21119,11.642543,1
1237658203988033972,227.25878,40.898158,1
1237668572544041770,252.71425,12.302259,2
1237654604787286245,156.54956,3.8656136,1
1237648720695590962,183.95755,-0.57558463,0
1237661949726097586,204.65216,11.644465,0
1237661386538942581,236.03458,43.816399,0
1237655692476088525,219.81415,-1.9399414,0
1237658491737735272,169.11649,8.883457,2
1237661387067294318,210.97739,54.546342,0
1237661081588269737,47.900592,40.485089,2
1237660670344364401,131.17878,7.5763749,1
1237654601028469128,154.51461,4.0163572,0
1237651822712848579,223.96761,3.9457342,0
1237654948371824673,222.72783,61.394682,0
1237662635826413754,212.02116,12.405846,0
1237662198280880163,221.42009,9.4535621,0
1237660669812539493,142.75987,8.9969605,0
1237654600489500824,149.64225,3.384068,1
1237654605860569183,155.34694,4.6652324,1
1237661948647702778,193.80263,11.439825,2
1237665101154812641,253.49905,13.380233,2
1237655693017743888,230.77792,-1.1647482,0
1237651800696292063,147.91704,-0.23895354,1
1237651800697405756,150.46495,-0.27414753,0
1237670359786390078,119.36129,11.282999,0
1237655691938431131,217.97161,-2.3995124,1
1237661064942649793,125.68028,6.3573158,1
1237655691939741904,221.00931,-2.2831298,1
1237662200434524607,235.72125,8.8424363,0
1237668572543845026,252.34528,12.436707,2
1237661949726097591,204.67196,11.743023,0
1237673807584297109,128.33848,20.845746,0
1237673808657252493,126.33301,21.113519,0
1237657611264458896,172.85499,56.428043,0
1237654879673122882,237.37267,2.616976,0
1237662503755055229,234.96686,37.450375,1
